index,duration,item,network,network_type
286,20,call,Three,mobile
287,2,call,Three,mobile
288,34.429,data,data,data
289,1,sms,Three,mobile
290,4,call,Meteor,mobile
291,34.429,data,data,data
292,21,call,Vodafone,mobile
293,1,sms,Meteor,mobile
294,1,sms,Meteor,mobile
295,114,call,Meteor,mobile
296,1,sms,Meteor,mobile
297,81,call,Meteor,mobile
298,174,call,voicemail,voicemail
299,71,call,Tesco,mobile
300,40,call,Tesco,mobile
301,29,call,voicemail,voicemail
302,37,call,Tesco,mobile
303,63,call,voicemail,voicemail
304,1,sms,Three,mobile
305,34.429,data,data,data
306,14,call,Meteor,mobile
307,1,sms,Vodafone,mobile
308,1,sms,Vodafone,mobile
309,4,call,Three,mobile
310,1,sms,Vodafone,mobile
311,10,call,Three,mobile
312,3,call,Three,mobile
313,3,call,Three,mobile
314,3,call,Three,mobile
315,1,sms,Meteor,mobile
316,1,sms,Meteor,mobile
317,1,sms,Meteor,mobile
318,1,sms,Meteor,mobile
319,1,sms,Meteor,mobile
320,3,call,Three,mobile
321,34.429,data,data,data
322,1116,call,Three,mobile
323,1,sms,Three,mobile
324,34.429,data,data,data
325,1,sms,Three,mobile
326,1,sms,Three,mobile
327,143,call,Tesco,mobile
328,34.429,data,data,data
329,151,call,Three,mobile
330,34.429,data,data,data
331,1,sms,Three,mobile
332,1,sms,Three,mobile
333,1,sms,Three,mobile
334,1,sms,Three,mobile
335,1,sms,Three,mobile
336,1,sms,Three,mobile
337,4,call,Three,mobile
338,34.429,data,data,data
339,1,sms,Three,mobile
340,1,sms,Three,mobile
341,34.429,data,data,data
342,526,call,Meteor,mobile
343,34.429,data,data,data
344,844,call,landline,landline
345,383,call,Tesco,mobile
346,34.429,data,data,data
347,6,call,Vodafone,mobile
348,37,call,Three,mobile
349,15,call,Meteor,mobile
350,71,call,voicemail,voicemail
351,34.429,data,data,data
352,465,call,landline,landline
353,153,call,Tesco,mobile
354,826,call,Three,mobile
355,34.429,data,data,data
356,442,call,Meteor,mobile
357,1,sms,Vodafone,mobile
358,1,sms,Tesco,mobile
359,1,sms,Vodafone,mobile
360,1,sms,world,world
361,1,sms,world,world
362,191,call,Meteor,mobile
363,34.429,data,data,data
364,99,call,voicemail,voicemail
365,428,call,Three,mobile
366,3,call,Three,mobile
367,727,call,Three,mobile
368,33,call,Tesco,mobile
369,120,call,Three,mobile
370,1,sms,world,world
371,1,sms,world,world
372,34.429,data,data,data
373,55,call,Meteor,mobile
374,34.429,data,data,data
375,28,call,Tesco,mobile
376,34.429,data,data,data
377,34.429,data,data,data
378,34.429,data,data,data
379,112,call,Vodafone,mobile
380,52,call,Vodafone,mobile
381,34.429,data,data,data
382,223,call,Three,mobile
383,14,call,landline,landline
384,8,call,landline,landline
385,74,call,landline,landline
386,34.429,data,data,data
387,59,call,voicemail,voicemail
388,25,call,Three,mobile
389,34.429,data,data,data
390,1,sms,Three,mobile
391,1,sms,Three,mobile
392,4,call,Three,mobile
393,1,sms,Vodafone,mobile
394,1,sms,Three,mobile
395,1,sms,Three,mobile
396,34.429,data,data,data
397,34.429,data,data,data
398,1859,call,Vodafone,mobile
399,1,sms,Vodafone,mobile
400,34.429,data,data,data
401,61,call,Three,mobile
402,268,call,Meteor,mobile
403,192,call,Meteor,mobile
404,14,call,Meteor,mobile
405,17,call,Three,mobile
406,46,call,Tesco,mobile
407,4,call,Meteor,mobile
408,4,call,Meteor,mobile
409,34.429,data,data,data
410,1,sms,Vodafone,mobile
411,41,call,Three,mobile
412,3,call,Three,mobile
413,217,call,Tesco,mobile
414,18,call,Three,mobile
415,58,call,Meteor,mobile
416,48,call,Tesco,mobile
417,543,call,Tesco,mobile
418,131,call,Three,mobile
419,1,sms,Vodafone,mobile
420,34.429,data,data,data
421,1,sms,Tesco,mobile
422,1,sms,Tesco,mobile
423,553,call,Meteor,mobile
424,1,sms,Tesco,mobile
425,54,call,Meteor,mobile
426,34.429,data,data,data
427,34.429,data,data,data
428,489,call,Tesco,mobile
429,1,sms,Vodafone,mobile
430,1,sms,Meteor,mobile
431,46,call,Vodafone,mobile
432,1,sms,Vodafone,mobile
433,47,call,Vodafone,mobile
434,1,sms,Vodafone,mobile
435,1,sms,Vodafone,mobile
436,1,sms,Vodafone,mobile
437,1,sms,Vodafone,mobile
438,566,call,Tesco,mobile
439,1,sms,Meteor,mobile
440,1,sms,Meteor,mobile
441,956,call,Three,mobile
442,55,call,Tesco,mobile
443,34.429,data,data,data
444,145,call,voicemail,voicemail
445,40,call,landline,landline
446,449,call,Three,mobile
447,1,sms,Vodafone,mobile
448,37,call,landline,landline
449,1,sms,Vodafone,mobile
450,39,call,voicemail,voicemail
451,28,call,landline,landline
452,1,sms,Vodafone,mobile
453,34.429,data,data,data
454,4,call,Three,mobile
455,234,call,Tesco,mobile
456,165,call,Three,mobile
457,3,call,Three,mobile
458,1,sms,Vodafone,mobile
459,37,call,Vodafone,mobile
460,5,call,Meteor,mobile
461,4,call,Meteor,mobile
462,1,sms,Three,mobile
463,34.429,data,data,data
464,1,sms,Vodafone,mobile
465,34.429,data,data,data
466,101,call,voicemail,voicemail
467,1,sms,Vodafone,mobile
468,34.429,data,data,data
469,1,sms,Meteor,mobile
470,1,sms,Meteor,mobile
471,1,sms,Meteor,mobile
472,1,sms,Meteor,mobile
473,34.429,data,data,data
474,34.429,data,data,data
475,368,call,Tesco,mobile
476,34.429,data,data,data
477,1,sms,Three,mobile
478,1,sms,Three,mobile
479,1,sms,Three,mobile
480,1,sms,Three,mobile
481,1,sms,Three,mobile
482,1,sms,Three,mobile
